adresse,pris,ejerudgift,meter
" Trangravsvej 1, HUSBÅD",2250000,3967,55
" Galionsvej 5, 2. 26., Holmen",7200000,3896,99
" Galionsvej 23, 2. tv., Holmen",7200000,5131,108
" Galionsvej 1L, st.., Holmen",9900000,4012,102
" Krudtløbsvej 3, HUSBÅD",1250000,6216,45
" Sankt Peders Stræde 32, st. tv.",2850000,2102,52
" Sankt Peders Stræde 21, 2.  nr. 2",13500000,6783,172
" Larsbjørnsstræde 13, 2.",3495000,5122,77
" Studiestræde 15, 2.",5495000,4281,110
" Frederiksberggade 5, 3.",5695000,5819,118
" Mikkel Bryggers Gade 3B, 1. th.",5695000,3931,130
" Lavendelstræde 11, 1.",4250000,4478,74
" Lavendelstræde 9, 3. Dør/lejl. 1",7195000,8288,138
 Løngangstræde 21G,6399000,4775,129
" H.C. Andersens Boulevard 40, 5. tv",4995000,4499,108
" H.C. Andersens Boulevard 42, 3. tv",8795000,8073,234
" H.C. Andersens Boulevard 51, 5. th.",24000000,10635,339
" Havneholmen 34, 4. th.",3795000,2952,71
" Havneholmen 40, ST. TH.",4495000,4031,85
" Havneholmen 78, 4. tv., Vesterbro",4595000,3384,77
" Havneholmen 66, st. th",4750000,4733,90
 Havneholmen 70  2. -2.,4995000,4529,96
" Havneholmen 48, 3. tv",4995000,4172,91
 Havneholmen 66  1. TH.,6495000,5190,112
" Havneholmen 36, 5. tv.",8995000,6206,144
" Havneholmen 54, 6. th.",19995000,9384,223
 Hambrosgade 6  5. TH.,6995000,3680,118
 Puggaardsgade 13  3. th.,9295000,6711,197
" Stoltenbergsgade 5, mezz.. th.",4795000,3776,91
" Stoltenbergsgade 3, 5. tv.",5795000,2994,128
" Gyldenløvesgade 21, 2. th.",4995000,5402,123
" Vester Søgade 78, 2. 2., Vestersøhus ]",2295000,2270,57
[ Vester Søgade 78  5. 2.,2395000,2561,57
" Vester Søgade 62, st. tv",3095000,3767,75
" Vester Søgade 14, 1. th",3495000,7993,111
" Vester Søgade 16, 1. tv.",3695000,6228,101
" Vester Søgade 20, 1. tv",3795000,7764,101
" Vester Søgade 22, 2. th",3995000,8607,111
" Vester Søgade 52, 2. th.",3995000,2833,84
" Vester Søgade 18, 1. th",3995000,6795,111
" Vester Søgade 48, 2. th.",4095000,2833,84
" Vester Søgade 74, 1. tv",5695000,5151,118
" Vester Søgade 68, 6.",11500000,8434,168
" Jernbanegade 7, 3.",6795000,7509,162
" Vesterbrogade 119, st. th",3495000,4683,102
 Vesterbrogade 114  st. th.,3495000,4222,92
" Vesterbrogade 97C, 2., Vesterbro",4995000,3706,117
" Vesterbrogade 88, 5.",5695000,3962,144
" Vesterbrogade 114, st. tv",6000000,9374,224
 Vesterbrogade 85  3.,6395000,4083,137
" Vesterbrogade 38, 3.",8395000,7717,237
" Vesterbrogade 39, 4. tv.",8995000,6180,204
" Istedgade 71, 1. th.",2795000,3370,54
" Istedgade 88, 1.",5995000,5268,138
" Helgolandsgade 6B, 3.",8495000,5291,136
" Eskildsgade 62, 1.",4995000,3332,96
" Dannebrogsgade 21, 3. th",4495000,5931,109
 Dannebrogsgade 21  4. TV.,5795000,6492,110
" Valdemarsgade 1A, st. th",2195000,1659,51
" Valdemarsgade 49A, 2. tv.",4795000,3825,112
 Matthæusgade 50  3. 16.,1895000,3570,47
" Matthæusgade 48D, 2. 229.",2469000,2051,70
" Mysundegade 5, st. tv",2235000,2833,51
" Mysundegade 18, 2. th",3095000,2209,57
 Flensborggade 7  2. TV.,2695000,2471,50
 Enghave Plads 23B  ST. TV.,3595000,2760,75
 Enghave Plads 7  2. TV.,5495000,3851,107
" Broagergade 4, 2. th.",3395000,3104,68
" Enghavevej 31, 2. 13",1795000,3570,46
" Enghavevej 15, st.. tv.",2195000,3520,65
" Enghavevej 13, 3. tv",2200000,2642,46
" Enghavevej 7, 4. th.",2250000,2292,50
 Enghavevej 19  3. TV.,2295000,1869,51
 Enghavevej 29  3. TV.,2395000,1937,49
" Enghavevej 5, 3. th.",2695000,2727,61
 Enghavevej 25  3. TV.,3395000,4384,83
" Enghavevej 25, 2. th.",3595000,4343,87
" Enghavevej TR5, 1. tv.",4445000,4883,105
" Enghavevej TR6, 1. mf.",4695000,4406,96
" Enghavevej TR3, 2. th.",5145000,4978,108
" Enghavevej TR5, 1. th.",5245000,5184,111
" Enghavevej TR1, 2. th. ]",5295000,5511,116
"[ Enghavevej TR5, 2. mf.",5595000,5881,119
" Enghavevej TR5, 4. mf.",5795000,5881,119
" Enghavevej TR4, st.. tv.",6795000,6964,133
" Halmtorvet 29B, 1. th",3795000,2919,83
" Halmtorvet 58, 3. tv",3995000,3646,73
" Halmtorvet 29F, 2. tv",4150000,2814,83
" Halmtorvet 29C, st.. tv.",5195000,3983,112
" Halmtorvet 29C, 1. tv",5495000,4009,112
" Halmtorvet 29D, 2. tv.",7995000,5468,153
" Halmtorvet 29A, 5. th.",10495000,5382,153
" Ingerslevsgade 110, 5. th",5995000,3963,120
" Eriksgade 3, 5. tv.",2295000,1893,38
" Sønder Boulevard 24, st. th",2250000,2237,43
" Sønder Boulevard 51, 1. tv",2695000,1975,56
" Sønder Boulevard 20, 1. TV.",2895000,2397,53
" Sønder Boulevard 74, 1. th",4245000,3163,92
" Sønder Boulevard 34, 1. tv.",6795000,4990,134
" Dybbølsgade 54, st. th",2095000,3328,42
" Dybbølsgade 54, 2. tv",2650000,3424,49
