date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-05 20:27:05,Stunner2310,ThereseUTD,0,0,0,"Corona? ",,,,1235663144774586368,https://twitter.com/Stunner2310/status/1235663144774586368
2020-03-05 20:26:33,RikkeMaimburg,,1,0,0,"Corona virus og graviditet, fødsels og barsel http://nationalperinatal.org/COVID-19/",,,,1235663009567191040,https://twitter.com/RikkeMaimburg/status/1235663009567191040
2020-03-05 20:04:07,Bronze_spirit,LandsharkRides,0,0,5,"My roommate, has what we like to call the bubble. It goes about as far as he can see. Anything outside his bubble is irrelevant, he doesn't know what the corona virus is and whom Trump is. I am sure he has been told, or overheard, but he does not care a bit and so disregards ir",,,,1235657362440171522,https://twitter.com/Bronze_spirit/status/1235657362440171522
2020-03-05 19:23:17,troelsll,lassefrom,1,0,0,"Jeg synes godt vi kan diskutere navnet en gang til. Er corona/covid-19 virkeligt det bedste navn? Lyder boomer flu ikke bedre?",,,,1235647087431372801,https://twitter.com/troelsll/status/1235647087431372801
2020-03-05 19:13:34,MarkScherwin,SkySportsNews,0,0,0,"Might aswell ban all phyicial contact in the match too, noone within 2 meters of eachother at any point of the game. Instant Corona card if you touch another player. off into shower with you.",,,,1235644643381055489,https://twitter.com/MarkScherwin/status/1235644643381055489
2020-03-05 18:54:50,OleSalling,23Nello,0,0,1,"Vi kan vel godt køre Pokalturneringen færdig. Det der Corona virus blandt fodbold folket er indtil videre på Sjælland. Lad os få en Semi finale mod Sønderjyske - skulle vi gå videre fra den, så hedder den enten AaB eller et SIF/Horsens uanset hvad opgør der vil samle folk",,,,1235639926965796864,https://twitter.com/OleSalling/status/1235639926965796864
2020-03-05 18:50:26,HejlsNor,4dorthe,0,0,0,"Der er vist nogen der ikke forstår, hvor store bestræbelset vi normalt udfolder, for at hente statsborgere strandet i udlandet, tilbage til Danmark, senest statsborgere i Kina, i risiko for at blive smittet med Corona, tidligere narkodømte, økonomisk kriminelle, fra hele verden,",,,,1235638819539599360,https://twitter.com/HejlsNor/status/1235638819539599360
2020-03-05 18:45:46,KasperEmilJour,f_tommerup,1,0,2,"Jeg er bare så træt af, at jeg ikke kender nogen med Corona ",,,,1235637645289586689,https://twitter.com/KasperEmilJour/status/1235637645289586689
2020-03-05 18:29:20,KasperEmilJour,f_tommerup,1,0,2,"Apropos syg, kunne du så ikke lave en formidlingsvideo om, hvordan man undgår at få Corona og lidt om sygdommens historik og oprindelse?",,,,1235633510297350156,https://twitter.com/KasperEmilJour/status/1235633510297350156
2020-03-05 18:24:14,tnbertelsen,,0,0,0,"My Corona ",,,,1235632226202570753,https://twitter.com/tnbertelsen/status/1235632226202570753
